Period,Epoch,Stage,UpperBoundary,LowerBoundary, Average ,Rperiod,Gperiod,Bperiod,Repoch,Gepoch,Bepoch,Rstage,Gstage,Bstage
Permian,Cisuralian,Sakmarian,290.51,293.52,292.015,0.941176471,0.250980392,0.156862745,0.937254902,0.345098039,0.270588235,0.890196078,0.435294118,0.360784314
Permian,Cisuralian,Asselian,293.52,298.89,296.205,0.941176471,0.250980392,0.156862745,0.937254902,0.345098039,0.270588235,0.890196078,0.388235294,0.31372549
Carboniferous,Upper,Gzhelian,298.89,303.68,301.285,0.403921569,0.647058824,0.6,0.749019608,0.815686275,0.729411765,0.8,0.831372549,0.780392157
Carboniferous,Upper,Kasimovian,303.68,307.02,305.35,0.403921569,0.647058824,0.6,0.749019608,0.815686275,0.729411765,0.749019608,0.815686275,0.77254902
Carboniferous,Middle,Moscovian,307.02,315.15,311.085,0.403921569,0.647058824,0.6,0.650980392,0.780392157,0.717647059,0.701960784,0.796078431,0.725490196
Carboniferous,Lower,Bashkirian,315.15,323.4,319.275,0.403921569,0.647058824,0.6,0.549019608,0.745098039,0.705882353,0.6,0.760784314,0.709803922
Carboniferous,Upper,Serpukhovian,323.4,330.34,326.87,0.403921569,0.647058824,0.6,0.701960784,0.745098039,0.423529412,0.749019608,0.760784314,0.419607843
Carboniferous,Middle,Visean,330.34,346.73,338.535,0.403921569,0.647058824,0.6,0.6,0.705882353,0.423529412,0.650980392,0.725490196,0.423529412
Carboniferous,Lower,Tournaisian,346.73,359.3,353.015,0.403921569,0.647058824,0.6,0.501960784,0.670588235,0.423529412,0.549019608,0.690196078,0.423529412
Devonian,Upper,Famennian,359.3,371.1,365.2,0.796078431,0.549019608,0.215686275,0.945098039,1,0.615686275,0.949019608,0.929411765,0.77254902
Devonian,Upper,Frasnian,371.1,378.9,375,0.796078431,0.549019608,0.215686275,0.945098039,1,0.615686275,0.949019608,0.929411765,0.678431373
Devonian,Middle,Givetian,378.9,385.3,382.1,0.796078431,0.549019608,0.215686275,0.945098039,0.784313725,0.407843137,0.945098039,0.882352941,0.521568627
Devonian,Middle,Eifelian,385.3,394.3,389.8,0.796078431,0.549019608,0.215686275,0.945098039,0.784313725,0.407843137,0.945098039,0.835294118,0.462745098
Devonian,Lower,Emsian,394.3,410.5,402.4,0.796078431,0.549019608,0.215686275,0.898039216,0.674509804,0.301960784,0.898039216,0.815686275,0.458823529
Devonian,Lower,Pragian,410.5,412.4,411.45,0.796078431,0.549019608,0.215686275,0.898039216,0.674509804,0.301960784,0.898039216,0.768627451,0.407843137
Devonian,Lower,Lochkovian,412.4,419,415.7,0.796078431,0.549019608,0.215686275,0.898039216,0.674509804,0.301960784,0.898039216,0.717647059,0.352941176
Silurian,Pridoli,Pridoli,419,422.73,420.865,0.701960784,0.882352941,0.71372549,0.901960784,0.960784314,0.882352941,0.901960784,0.960784314,0.882352941
Silurian,Ludlow,Ludfordian,422.73,425.01,423.87,0.701960784,0.882352941,0.71372549,0.749019608,0.901960784,0.811764706,0.850980392,0.941176471,0.874509804
Silurian,Ludlow,Gorstian,425.01,426.74,425.875,0.701960784,0.882352941,0.71372549,0.749019608,0.901960784,0.811764706,0.8,0.925490196,0.866666667
Silurian,Wenlock,Homerian,426.74,430.62,428.68,0.701960784,0.882352941,0.71372549,0.701960784,0.882352941,0.760784314,0.8,0.921568627,0.819607843
Silurian,Wenlock,Sheinwoodian,430.62,432.93,431.775,0.701960784,0.882352941,0.71372549,0.701960784,0.882352941,0.760784314,0.749019608,0.901960784,0.764705882
Silurian,Llandovery,Telychian,432.93,438.59,435.76,0.701960784,0.882352941,0.71372549,0.6,0.843137255,0.701960784,0.749019608,0.901960784,0.811764706
Silurian,Llandovery,Aeronian,438.59,440.49,439.54,0.701960784,0.882352941,0.71372549,0.6,0.843137255,0.701960784,0.701960784,0.882352941,0.760784314
Silurian,Llandovery,Rhuddanian,440.49,443.07,441.78,0.701960784,0.882352941,0.71372549,0.6,0.843137255,0.701960784,0.650980392,0.862745098,0.709803922
Ordovician,Upper,Hirnantian,443.07,445.21,444.14,0,0.57254902,0.439215686,0.498039216,0.792156863,0.576470588,0.650980392,0.858823529,0.670588235
Ordovician,Upper,Katian,445.21,452.75,448.98,0,0.57254902,0.439215686,0.498039216,0.792156863,0.576470588,0.6,0.839215686,0.623529412
Ordovician,Upper,Sandbian,452.75,458.18,455.465,0,0.57254902,0.439215686,0.498039216,0.792156863,0.576470588,0.549019608,0.815686275,0.580392157
Ordovician,Middle,Darriwilian,458.18,469.42,463.8,0,0.57254902,0.439215686,0.301960784,0.705882353,0.494117647,0.454901961,0.776470588,0.611764706
Ordovician,Middle,Dapingian,469.42,471.26,470.34,0,0.57254902,0.439215686,0.301960784,0.705882353,0.494117647,0.4,0.752941176,0.57254902
Ordovician,Lower,Floian,471.26,477.08,474.17,0,0.57254902,0.439215686,0.101960784,0.615686275,0.435294118,0.254901961,0.690196078,0.529411765
Ordovician,Lower,Tremadocian,477.08,486.85,481.965,0,0.57254902,0.439215686,0.101960784,0.615686275,0.435294118,0.2,0.662745098,0.494117647
Cambrian,Furongian,Stage 10,486.85,491,488.925,0.498039216,0.62745098,0.337254902,0.701960784,0.878431373,0.584313725,0.901960784,0.960784314,0.788235294
Cambrian,Furongian,Jiangshanian,491,494.2,492.6,0.498039216,0.62745098,0.337254902,0.701960784,0.878431373,0.584313725,0.850980392,0.941176471,0.733333333
Cambrian,Furongian,Paibian,494.2,497,495.6,0.498039216,0.62745098,0.337254902,0.701960784,0.878431373,0.584313725,0.8,0.921568627,0.682352941
Cambrian,Miaolingian,Guzhangian,497,500.5,498.75,0.498039216,0.62745098,0.337254902,0.650980392,0.811764706,0.525490196,0.8,0.874509804,0.666666667
Cambrian,Miaolingian,Drumian,500.5,504.5,502.5,0.498039216,0.62745098,0.337254902,0.650980392,0.811764706,0.525490196,0.749019608,0.850980392,0.615686275
Cambrian,Miaolingian,Stage 5,504.5,509,506.75,0.498039216,0.62745098,0.337254902,0.650980392,0.811764706,0.525490196,0.701960784,0.831372549,0.57254902
Cambrian,Series 2,Stage 4,509,514.5,511.75,0.498039216,0.62745098,0.337254902,0.6,0.752941176,0.470588235,0.701960784,0.792156863,0.556862745
Cambrian,Series 2,Stage 3,514.5,521,517.75,0.498039216,0.62745098,0.337254902,0.6,0.752941176,0.470588235,0.650980392,0.77254902,0.51372549
Cambrian,Terreneuvian,Stage 2,521,529,525,0.498039216,0.62745098,0.337254902,0.549019608,0.690196078,0.423529412,0.650980392,0.729411765,0.501960784
Cambrian,Terreneuvian,Fortunian,529,538.8,533.9,0.498039216,0.62745098,0.337254902,0.549019608,0.690196078,0.423529412,0.6,0.709803922,0.458823529
